Invoice_ID,Date,Branch,City,Product,Customer_Type,Quantity,Unit_Price,Sales,Payment_Method,Rating
INV-0063,2025-05-14,C,Mumbai,Bread,Member,1,79.01,79.01,UPI,4.0
INV-0064,2025-01-25,B,Pune,Personal Care,Normal,2,93.17,186.34,Credit Card,5.0
INV-0065,2025-05-21,C,Mumbai,Bread,Normal,6,76.94,461.64,Cash,4.2
INV-0066,2025-04-27,B,Pune,Personal Care,Normal,6,177.53,1065.18,UPI,5.0
INV-0067,2025-05-16,A,Delhi,Beverages,Normal,2,89.06,178.12,UPI,2.5
INV-0068,2025-05-29,C,Mumbai,Meat,Member,1,247.75,247.75,Cash,4.9
INV-0069,2025-01-25,A,Delhi,Vegetables,Member,10,84.44,844.4,Cash,3.9
INV-0070,2025-03-20,C,Mumbai,Frozen Food,Normal,5,158.45,792.25,UPI,2.7
INV-0071,2025-03-09,A,Delhi,Meat,Member,5,369.25,1846.25,Credit Card,4.3
INV-0072,2025-06-22,C,Mumbai,Snacks,Member,2,56.28,112.56,UPI,3.8
INV-0073,2025-01-12,A,Delhi,Bread,Member,6,81.15,486.9,Cash,4.4
INV-0074,2025-02-01,C,Mumbai,Snacks,Normal,9,118.2,1063.8,Credit Card,4.7
INV-0075,2025-05-08,B,Pune,Meat,Normal,2,422.08,844.16,Cash,3.0
INV-0076,2025-04-06,C,Mumbai,Personal Care,Normal,10,81.18,811.8,Cash,4.7
INV-0077,2025-04-02,A,Delhi,Frozen Food,Member,2,180.81,361.62,Cash,4.0
INV-0078,2025-05-21,B,Pune,Frozen Food,Normal,3,181.85,545.55,UPI,4.9
INV-0079,2025-01-31,C,Mumbai,Cheese,Normal,7,176.55,1235.85,Credit Card,3.9
INV-0080,2025-03-19,B,Pune,Frozen Food,Member,6,157.94,947.64,Cash,3.7
INV-0081,2025-01-20,B,Pune,Vegetables,Normal,8,27.85,222.8,Credit Card,4.0
INV-0082,2025-05-26,C,Mumbai,Frozen Food,Normal,8,206.8,1654.4,UPI,4.1
INV-0083,2025-03-01,B,Pune,Meat,Member,6,314.8,1888.8,UPI,3.6
INV-0084,2025-05-14,B,Pune,Cheese,Member,10,129.24,1292.4,UPI,3.7
INV-0085,2025-06-09,B,Pune,Meat,Member,3,354.23,1062.69,Cash,3.2
INV-0086,2025-04-03,C,Mumbai,Meat,Normal,3,290.03,870.09,UPI,3.7
INV-0087,2025-02-12,A,Delhi,Milk,Normal,1,36.55,36.55,Credit Card,4.4
INV-0088,2025-05-10,A,Delhi,Cheese,Normal,7,275.14,1925.98,Cash,3.9
INV-0089,2025-03-01,C,Mumbai,Meat,Member,5,434.73,2173.65,Credit Card,4.7
INV-0090,2025-05-31,C,Mumbai,Milk,Member,4,58.08,232.32,UPI,3.9
INV-0091,2025-01-31,B,Pune,Milk,Normal,10,39.22,392.2,Credit Card,3.1
INV-0092,2025-01-05,B,Pune,Cheese,Normal,4,240.74,962.96,Credit Card,4.4
INV-0093,2025-06-11,A,Delhi,Snacks,Member,4,94.11,376.44,Credit Card,3.6
INV-0094,2025-01-10,A,Delhi,Personal Care,Member,6,108.39,650.34,Credit Card,3.8
INV-0095,2025-03-30,B,Pune,Vegetables,Member,8,61.86,494.88,Credit Card,4.8
INV-0096,2025-05-10,B,Pune,Personal Care,Member,8,143.59,1148.72,Cash,3.2
INV-0097,2025-05-06,B,Pune,Frozen Food,Normal,5,175.66,878.3,UPI,4.1
INV-0098,2025-01-11,A,Delhi,Vegetables,Member,6,58.09,348.54,UPI,4.0
INV-0099,2025-06-27,C,Mumbai,Frozen Food,Normal,4,182.98,731.92,Credit Card,4.5
INV-0100,2025-06-08,C,Mumbai,Meat,Normal,9,425.62,3830.58,Cash,4.6
INV-0101,2025-02-25,C,Mumbai,Bread,Normal,8,51.74,413.92,Credit Card,4.2
INV-0102,2025-03-24,B,Pune,Cheese,Member,10,236.11,2361.1,Cash,3.8
INV-0103,2025-05-17,A,Delhi,Vegetables,Member,10,92.08,920.8,UPI,4.3
INV-0104,2025-04-09,C,Mumbai,Vegetables,Member,1,59.2,59.2,UPI,4.9
INV-0105,2025-05-29,C,Mumbai,Meat,Member,2,283.04,566.08,Cash,4.0
INV-0106,2025-03-14,A,Delhi,Snacks,Normal,9,106.23,956.07,Cash,3.8
INV-0107,2025-06-05,C,Mumbai,Milk,Member,8,61.61,492.88,UPI,4.3
INV-0108,2025-04-25,C,Mumbai,Meat,Member,3,391.98,1175.94,Cash,4.0
INV-0109,2025-01-07,C,Mumbai,Fruits,Normal,8,72.88,583.04,UPI,3.1
INV-0110,2025-03-21,C,Mumbai,Milk,Member,1,79.83,79.83,Cash,4.2
INV-0111,2025-05-24,B,Pune,Cheese,Normal,10,129.52,1295.2,UPI,3.1
INV-0112,2025-04-07,B,Pune,Milk,Normal,4,35.14,140.56,Credit Card,4.2
INV-0113,2025-01-04,C,Mumbai,Snacks,Normal,3,110.42,331.26,UPI,3.5
INV-0114,2025-01-04,C,Mumbai,Milk,Normal,6,48.43,290.58,Cash,4.0
INV-0115,2025-04-13,A,Delhi,Cheese,Normal,7,158.46,1109.22,UPI,4.3
INV-0116,2025-02-09,A,Delhi,Snacks,Normal,4,74.31,297.24,UPI,5.0
INV-0117,2025-01-17,B,Pune,Personal Care,Normal,7,100.97,706.79,Cash,4.5
INV-0118,2025-04-11,C,Mumbai,Vegetables,Normal,9,27.31,245.79,Cash,4.9
INV-0119,2025-04-13,C,Mumbai,Vegetables,Member,2,97.86,195.72,Cash,5.0
INV-0120,2025-05-04,A,Delhi,Frozen Food,Member,3,117.53,352.59,UPI,4.3
INV-0121,2025-02-21,B,Pune,Personal Care,Member,5,177.44,887.2,Cash,4.2
INV-0122,2025-02-21,B,Pune,Personal Care,Member,3,182.02,546.06,Credit Card,3.3
INV-0123,2025-06-13,C,Mumbai,Milk,Normal,8,76.82,614.56,Credit Card,3.9
INV-0124,2025-05-04,C,Mumbai,Vegetables,Member,10,27.29,272.9,UPI,3.5
INV-0125,2025-06-15,C,Mumbai,Cheese,Normal,8,259.53,2076.24,Cash,3.7
INV-0126,2025-06-27,B,Pune,Beverages,Member,8,118.54,948.32,UPI,5.0
INV-0127,2025-03-04,B,Pune,Beverages,Member,9,132.23,1190.07,UPI,4.1
INV-0128,2025-04-26,A,Delhi,Snacks,Member,4,110.89,443.56,Credit Card,3.4
INV-0129,2025-03-03,A,Delhi,Vegetables,Normal,5,86.48,432.4,UPI,4.9
INV-0130,2025-01-07,C,Mumbai,Vegetables,Member,5,50.01,250.05,Cash,4.6
INV-0131,2025-06-04,C,Mumbai,Beverages,Normal,8,145.3,1162.4,Cash,4.7
INV-0132,2025-04-02,C,Mumbai,Vegetables,Normal,7,64.64,452.48,Credit Card,2.7
INV-0133,2025-01-14,C,Mumbai,Milk,Member,9,70.7,636.3,Cash,5.0
INV-0134,2025-03-27,B,Pune,Fruits,Member,8,119.15,953.2,UPI,3.6
INV-0135,2025-05-13,C,Mumbai,Bread,Member,2,42.04,84.08,UPI,4.5
INV-0136,2025-05-10,C,Mumbai,Personal Care,Normal,10,219.14,2191.4,Cash,5.0
INV-0137,2025-03-03,C,Mumbai,Frozen Food,Member,4,95.27,381.08,UPI,5.0
INV-0138,2025-05-29,A,Delhi,Snacks,Normal,6,40.25,241.5,UPI,3.4
INV-0139,2025-03-20,B,Pune,Fruits,Normal,2,33.97,67.94,UPI,3.1
INV-0140,2025-05-29,A,Delhi,Beverages,Member,7,94.43,661.01,UPI,4.9
INV-0141,2025-05-18,C,Mumbai,Personal Care,Member,3,161.27,483.81,Cash,4.1
INV-0142,2025-02-27,B,Pune,Vegetables,Normal,3,30.18,90.54,UPI,3.7
INV-0143,2025-04-30,A,Delhi,Frozen Food,Normal,2,80.96,161.92,Cash,4.4
INV-0144,2025-06-16,C,Mumbai,Vegetables,Normal,8,95.28,762.24,Cash,3.9
INV-0145,2025-05-13,B,Pune,Cheese,Member,6,251.51,1509.06,Credit Card,4.5
INV-0146,2025-03-06,B,Pune,Cheese,Normal,1,249.47,249.47,UPI,4.0
INV-0147,2025-01-13,A,Delhi,Frozen Food,Member,1,230.35,230.35,UPI,4.5
INV-0148,2025-06-30,C,Mumbai,Frozen Food,Normal,7,199.01,1393.07,UPI,3.4
INV-0149,2025-03-23,B,Pune,Beverages,Normal,8,63.57,508.56,Cash,4.9
INV-0150,2025-06-22,C,Mumbai,Frozen Food,Member,5,147.85,739.25,Credit Card,4.5
INV-0151,2025-06-09,B,Pune,Milk,Normal,5,67.54,337.7,UPI,4.4
INV-0152,2025-06-13,C,Mumbai,Vegetables,Member,4,46.03,184.12,Credit Card,3.3
INV-0153,2025-05-19,B,Pune,Fruits,Member,6,91.87,551.22,UPI,5.0
INV-0154,2025-05-29,B,Pune,Meat,Normal,6,157.35,944.1,Cash,4.0
INV-0155,2025-02-21,C,Mumbai,Frozen Food,Member,3,132.04,396.12,Credit Card,4.5
INV-0156,2025-04-27,B,Pune,Snacks,Member,9,100.4,903.6,Credit Card,3.8
INV-0157,2025-01-26,A,Delhi,Cheese,Normal,7,221.13,1547.91,Credit Card,4.2
INV-0158,2025-02-03,A,Delhi,Milk,Member,1,60.97,60.97,Credit Card,4.2
INV-0159,2025-02-21,C,Mumbai,Personal Care,Member,7,171.64,1201.48,UPI,2.2
INV-0160,2025-04-22,B,Pune,Meat,Member,5,151.83,759.15,Credit Card,4.4
INV-0161,2025-03-23,C,Mumbai,Fruits,Normal,5,39.08,195.4,UPI,5.0
INV-0162,2025-06-29,A,Delhi,Meat,Member,2,410.68,821.36,Credit Card,4.4
INV-0163,2025-06-06,A,Delhi,Frozen Food,Normal,4,195.9,783.6,Cash,3.4
INV-0164,2025-06-15,A,Delhi,Beverages,Normal,6,64.68,388.08,Credit Card,4.4
INV-0165,2025-02-11,B,Pune,Cheese,Member,10,254.73,2547.3,Cash,4.7
INV-0166,2025-01-21,B,Pune,Cheese,Member,7,158.76,1111.32,Cash,4.3
INV-0167,2025-02-11,B,Pune,Personal Care,Member,5,136.52,682.6,Cash,4.0
INV-0168,2025-05-21,B,Pune,Beverages,Normal,9,68.88,619.92,Credit Card,3.8
INV-0169,2025-04-23,C,Mumbai,Vegetables,Member,3,78.26,234.78,UPI,3.8
INV-0170,2025-04-15,B,Pune,Bread,Member,1,70.01,70.01,UPI,4.5
INV-0171,2025-01-17,B,Pune,Milk,Member,4,44.5,178.0,UPI,3.1
INV-0172,2025-04-30,C,Mumbai,Cheese,Member,9,258.14,2323.26,UPI,3.8
INV-0173,2025-05-17,B,Pune,Snacks,Member,4,84.14,336.56,Credit Card,5.0
INV-0174,2025-06-18,B,Pune,Cheese,Normal,2,166.8,333.6,UPI,5.0
INV-0175,2025-05-09,C,Mumbai,Meat,Normal,10,195.7,1957.0,Credit Card,3.0
INV-0176,2025-05-10,C,Mumbai,Cheese,Member,5,162.59,812.95,UPI,3.3
INV-0177,2025-03-01,A,Delhi,Cheese,Member,3,123.52,370.56,UPI,3.8
INV-0178,2025-02-17,C,Mumbai,Bread,Member,9,65.0,585.0,Credit Card,4.6
INV-0179,2025-01-29,B,Pune,Bread,Member,4,80.53,322.12,Cash,2.8
INV-0180,2025-04-07,A,Delhi,Fruits,Normal,6,79.41,476.46,Cash,4.0
INV-0181,2025-01-10,B,Pune,Vegetables,Member,2,41.45,82.9,Cash,3.7
INV-0182,2025-02-27,C,Mumbai,Snacks,Normal,6,43.7,262.2,Credit Card,4.9
INV-0183,2025-01-21,B,Pune,Cheese,Normal,3,154.34,463.02,UPI,2.9
INV-0184,2025-01-28,A,Delhi,Cheese,Member,9,186.58,1679.22,Credit Card,4.1
INV-0185,2025-02-03,B,Pune,Milk,Normal,2,69.18,138.36,Credit Card,3.7
INV-0186,2025-01-08,A,Delhi,Bread,Normal,9,41.27,371.43,Cash,5.0
INV-0187,2025-06-26,A,Delhi,Snacks,Normal,5,119.18,595.9,UPI,4.4
INV-0188,2025-03-20,A,Delhi,Personal Care,Normal,8,198.71,1589.68,Cash,3.6
INV-0189,2025-05-25,A,Delhi,Fruits,Member,2,70.86,141.72,UPI,4.6
INV-0190,2025-03-28,A,Delhi,Vegetables,Member,6,86.61,519.66,UPI,3.7
INV-0191,2025-03-29,A,Delhi,Beverages,Normal,3,122.11,366.33,UPI,4.6
INV-0192,2025-06-22,B,Pune,Vegetables,Member,10,72.78,727.8,Cash,3.8
INV-0193,2025-03-10,A,Delhi,Meat,Member,5,307.88,1539.4,Credit Card,4.7
INV-0194,2025-06-09,B,Pune,Cheese,Member,8,194.11,1552.88,Credit Card,4.3
INV-0195,2025-06-21,C,Mumbai,Fruits,Member,10,51.12,511.2,Credit Card,5.0
INV-0196,2025-03-28,B,Pune,Meat,Member,1,240.96,240.96,Cash,4.0
INV-0197,2025-04-11,C,Mumbai,Snacks,Normal,5,71.9,359.5,UPI,4.2
INV-0198,2025-01-08,A,Delhi,Beverages,Member,3,123.23,369.69,UPI,3.7
INV-0199,2025-03-18,A,Delhi,Bread,Member,4,37.2,148.8,Credit Card,4.0
INV-0200,2025-03-28,A,Delhi,Fruits,Member,2,112.51,225.02,UPI,2.2
INV-0201,2025-02-12,A,Delhi,Fruits,Member,9,94.86,853.74,Credit Card,4.3
INV-0202,2025-05-09,A,Delhi,Cheese,Normal,3,184.23,552.69,Cash,4.9
INV-0203,2025-04-19,A,Delhi,Frozen Food,Normal,2,106.97,213.94,Cash,4.3
INV-0204,2025-06-28,A,Delhi,Fruits,Normal,10,109.38,1093.8,Credit Card,3.1
INV-0205,2025-06-01,A,Delhi,Milk,Normal,9,72.07,648.63,Cash,3.5
INV-0206,2025-06-01,B,Pune,Beverages,Member,7,143.82,1006.74,Credit Card,2.4
INV-0207,2025-01-17,A,Delhi,Beverages,Normal,6,85.3,511.8,Credit Card,4.6
INV-0208,2025-05-13,B,Pune,Milk,Member,1,53.11,53.11,Cash,3.3
INV-0209,2025-05-28,B,Pune,Personal Care,Member,5,76.44,382.2,UPI,4.0
INV-0210,2025-01-21,C,Mumbai,Milk,Member,3,43.51,130.53,Cash,3.9
INV-0211,2025-02-27,A,Delhi,Milk,Member,1,70.24,70.24,Credit Card,5.0
INV-0212,2025-06-08,C,Mumbai,Beverages,Member,4,142.96,571.84,UPI,4.1
INV-0213,2025-04-20,B,Pune,Vegetables,Normal,2,69.51,139.02,Cash,4.5
INV-0214,2025-05-19,A,Delhi,Beverages,Normal,2,166.44,332.88,Cash,4.4
INV-0215,2025-06-29,C,Mumbai,Frozen Food,Normal,3,179.16,537.48,Credit Card,4.9
INV-0216,2025-05-23,C,Mumbai,Cheese,Normal,8,194.71,1557.68,UPI,3.8
INV-0217,2025-05-15,A,Delhi,Meat,Member,8,252.11,2016.88,Credit Card,5.0
INV-0218,2025-01-28,A,Delhi,Vegetables,Normal,7,95.53,668.71,Credit Card,2.7
INV-0219,2025-02-20,C,Mumbai,Bread,Member,6,34.96,209.76,UPI,4.6
INV-0220,2025-01-05,C,Mumbai,Meat,Normal,9,429.27,3863.43,UPI,3.4
INV-0221,2025-01-05,A,Delhi,Cheese,Member,4,252.27,1009.08,Credit Card,3.7
INV-0222,2025-04-04,A,Delhi,Frozen Food,Member,1,102.09,102.09,UPI,4.4
INV-0223,2025-04-06,B,Pune,Frozen Food,Normal,8,176.05,1408.4,Credit Card,4.4
INV-0224,2025-01-08,B,Pune,Bread,Member,7,81.99,573.93,Cash,4.4
INV-0225,2025-03-05,B,Pune,Vegetables,Member,7,67.89,475.23,UPI,3.1
INV-0226,2025-05-18,B,Pune,Personal Care,Normal,3,205.15,615.45,Credit Card,4.9
INV-0227,2025-02-07,B,Pune,Milk,Member,4,77.43,309.72,Cash,3.4
INV-0228,2025-04-21,C,Mumbai,Vegetables,Normal,10,56.68,566.8,Cash,3.5
INV-0229,2025-04-22,A,Delhi,Personal Care,Normal,9,120.37,1083.33,UPI,4.4
INV-0230,2025-03-22,A,Delhi,Frozen Food,Normal,6,239.17,1435.02,Cash,3.8
INV-0231,2025-05-16,C,Mumbai,Beverages,Member,5,137.77,688.85,UPI,4.2
INV-0232,2025-04-14,C,Mumbai,Cheese,Member,3,138.56,415.68,Cash,2.6
INV-0233,2025-06-02,B,Pune,Bread,Member,9,32.54,292.86,Credit Card,4.2
INV-0234,2025-03-14,B,Pune,Cheese,Normal,5,210.34,1051.7,UPI,4.1
INV-0235,2025-06-27,A,Delhi,Snacks,Member,5,142.32,711.6,Cash,3.7
INV-0236,2025-02-18,B,Pune,Snacks,Normal,4,132.87,531.48,UPI,2.7
INV-0237,2025-02-05,B,Pune,Vegetables,Normal,4,75.69,302.76,Credit Card,3.9
INV-0238,2025-05-06,A,Delhi,Frozen Food,Member,1,103.65,103.65,UPI,4.0
INV-0239,2025-03-09,A,Delhi,Frozen Food,Normal,7,123.22,862.54,Credit Card,3.8
INV-0240,2025-03-19,B,Pune,Milk,Member,9,74.4,669.6,Cash,2.8
INV-0241,2025-04-15,A,Delhi,Milk,Member,3,43.23,129.69,UPI,5.0
INV-0242,2025-06-18,A,Delhi,Milk,Member,2,47.53,95.06,UPI,3.6
INV-0243,2025-05-02,A,Delhi,Beverages,Member,3,66.85,200.55,UPI,3.9
INV-0244,2025-04-29,A,Delhi,Meat,Member,1,352.83,352.83,Cash,2.4
INV-0245,2025-04-24,A,Delhi,Fruits,Normal,6,114.96,689.76,UPI,5.0
INV-0246,2025-01-10,C,Mumbai,Meat,Normal,7,230.69,1614.83,Credit Card,3.7
INV-0247,2025-05-29,B,Pune,Cheese,Normal,2,196.07,392.14,Cash,4.1
INV-0248,2025-06-13,C,Mumbai,Meat,Member,8,340.3,2722.4,UPI,4.7
INV-0249,2025-05-20,C,Mumbai,Beverages,Member,6,179.93,1079.58,Cash,3.6
INV-0250,2025-04-01,B,Pune,Cheese,Member,4,136.77,547.08,Credit Card,4.6
INV-0251,2025-01-02,A,Delhi,Meat,Normal,5,299.57,1497.85,UPI,2.7
INV-0252,2025-04-28,B,Pune,Beverages,Member,8,100.07,800.56,UPI,4.4
INV-0253,2025-01-13,B,Pune,Fruits,Normal,3,107.92,323.76,UPI,5.0
INV-0254,2025-06-30,C,Mumbai,Meat,Normal,3,292.79,878.37,Credit Card,3.6
INV-0255,2025-06-09,B,Pune,Beverages,Member,4,64.43,257.72,Cash,4.7
INV-0256,2025-04-05,A,Delhi,Milk,Member,1,63.55,63.55,Cash,5.0
INV-0257,2025-05-24,A,Delhi,Frozen Food,Normal,9,211.03,1899.27,Credit Card,3.8
INV-0258,2025-02-01,B,Pune,Milk,Member,8,35.13,281.04,Credit Card,3.8
INV-0259,2025-02-01,B,Pune,Frozen Food,Normal,8,226.02,1808.16,Cash,3.4
INV-0260,2025-05-04,B,Pune,Bread,Member,10,41.16,411.6,Credit Card,3.7
INV-0261,2025-01-11,B,Pune,Bread,Member,6,63.12,378.72,UPI,3.5
INV-0262,2025-01-10,C,Mumbai,Bread,Normal,7,54.95,384.65,UPI,3.4
INV-0263,2025-01-15,B,Pune,Fruits,Member,6,94.77,568.62,UPI,4.8
INV-0264,2025-01-17,A,Delhi,Milk,Normal,9,51.7,465.3,UPI,3.5
INV-0265,2025-06-17,A,Delhi,Frozen Food,Member,3,227.86,683.58,Cash,4.2
INV-0266,2025-05-26,A,Delhi,Beverages,Normal,3,144.96,434.88,Credit Card,4.0
INV-0267,2025-06-02,A,Delhi,Cheese,Normal,3,223.63,670.89,UPI,5.0
INV-0268,2025-02-28,A,Delhi,Beverages,Member,10,153.51,1535.1,UPI,3.7
INV-0269,2025-03-19,A,Delhi,Cheese,Normal,3,240.64,721.92,Cash,4.2
INV-0270,2025-05-04,A,Delhi,Snacks,Member,9,43.95,395.55,Credit Card,4.5
INV-0271,2025-04-24,A,Delhi,Beverages,Member,4,101.32,405.28,UPI,5.0
INV-0272,2025-01-22,C,Mumbai,Meat,Member,7,429.24,3004.68,Cash,3.7
INV-0273,2025-06-07,A,Delhi,Meat,Normal,9,187.72,1689.48,UPI,3.6
INV-0274,2025-06-21,B,Pune,Vegetables,Normal,7,80.28,561.96,UPI,3.3
INV-0275,2025-02-01,B,Pune,Milk,Member,9,78.86,709.74,Credit Card,5.0
INV-0276,2025-06-28,C,Mumbai,Cheese,Member,3,128.35,385.05,Credit Card,4.9
INV-0277,2025-06-23,A,Delhi,Cheese,Normal,4,229.15,916.6,UPI,4.0
INV-0278,2025-04-23,B,Pune,Milk,Member,8,56.07,448.56,Credit Card,5.0
INV-0279,2025-04-30,C,Mumbai,Fruits,Member,6,82.13,492.78,Cash,3.9
INV-0280,2025-05-29,C,Mumbai,Vegetables,Normal,5,31.4,157.0,Credit Card,4.5
INV-0281,2025-05-02,C,Mumbai,Fruits,Member,4,33.87,135.48,Cash,4.0
INV-0282,2025-02-01,A,Delhi,Fruits,Normal,8,90.02,720.16,Cash,4.3
INV-0283,2025-04-29,A,Delhi,Fruits,Member,1,104.1,104.1,Cash,4.2
INV-0284,2025-02-08,C,Mumbai,Milk,Normal,9,70.19,631.71,Cash,3.7
INV-0285,2025-01-12,C,Mumbai,Fruits,Member,1,78.94,78.94,UPI,4.7
INV-0286,2025-06-24,B,Pune,Meat,Member,8,179.96,1439.68,UPI,4.5
INV-0287,2025-01-18,B,Pune,Bread,Normal,4,71.28,285.12,UPI,4.7
INV-0288,2025-05-29,A,Delhi,Snacks,Member,9,66.61,599.49,Credit Card,4.2
INV-0289,2025-05-21,C,Mumbai,Cheese,Normal,5,265.77,1328.85,UPI,3.4
INV-0290,2025-05-29,A,Delhi,Cheese,Member,3,254.12,762.36,Cash,5.0
INV-0291,2025-05-06,A,Delhi,Snacks,Normal,9,118.03,1062.27,Credit Card,3.8
INV-0292,2025-05-16,B,Pune,Milk,Normal,9,77.7,699.3,UPI,4.2
INV-0293,2025-02-15,B,Pune,Beverages,Normal,4,54.08,216.32,Cash,4.4
